,Olfactory tubercle,Pons,Nucleus accumbens,Pons motor related,Subthalamic nucleus,Dorsal auditory area,Primary somatosensory area mouth,Perirhinal area,Lateral preoptic area,Central medial nucleus of the thalamus,Entorhinal area medial part,Medial septal nucleus,Ectorhinal area,Lateral hypothalamic area,Basolateral amygdalar nucleus,Anteroventral preoptic nucleus,Central amygdalar nucleus,Agranular insular area,Diagonal band nucleus,Supplemental somatosensory area,Piriform area,Ventral auditory area,Orbital area lateral part,Intercalated amygdalar nucleus,Primary auditory area,Substantia innominata,Lateral septal complex,Posterior hypothalamic nucleus,Anterior hypothalamic nucleus,Bed nuclei of the stria terminalis,Orbital area ventrolateral part,Gustatory areas,Taenia tecta,Zona incerta,Subiculum,Dorsal peduncular area,Primary visual area,Visceral area,Midbrain reticular nucleus,Infralimbic area,Temporal association areas,posteromedial visual area,Medial geniculate complex,Ventral tegmental area,Tuberal nucleus,Parasubthalamic nucleus,Retrochiasmatic area,Suprachiasmatic nucleus,Anteroventral periventricular nucleus,Culmen,Endopiriform nucleus,Entorhinal area lateral part,Lateral visual area,Anterolateral visual area,Caudoputamen,Pedunculopontine nucleus,Agranular insular area ventral part,Periaqueductal gray,Dorsal part of the lateral geniculate complex,Retrosplenial area dorsal part,Frontal pole cerebral cortex,Primary somatosensory area upper limb,Anterior amygdalar area,Field CA1,Medial habenula,Presubiculum,Subparaventricular zone,Anteroventral nucleus of thalamus,Piriform-amygdalar area,Ventral medial nucleus of the thalamus,Inferior colliculus,Claustrum,Primary motor area,Anterodorsal nucleus,Mediodorsal nucleus of thalamus,Fundus of striatum,Magnocellular nucleus,Medial preoptic area,Postsubiculum,Paraventricular nucleus of the thalamus,Anterior cingulate area dorsal part,Medial preoptic nucleus,Reticular nucleus of the thalamus,Prelimbic area,Dorsomedial nucleus of the hypothalamus,Cortical amygdalar area,Secondary motor area,Field CA3,Field CA2,Interpeduncular nucleus,Ventrolateral preoptic nucleus,Globus pallidus external segment,Periventricular zone,Orbital area medial part,Primary somatosensory area lower limb,Agranular insular area posterior part,Parasubiculum,Lateral posterior nucleus of the thalamus,Primary somatosensory area trunk,Substantia nigra compact part,Cortical amygdalar area posterior part,Ventromedial hypothalamic nucleus,Central lateral nucleus of the thalamus,Parataenial nucleus,Periventricular hypothalamic nucleus posterior part,Median preoptic nucleus,Dentate gyrus,Anterior cingulate area ventral part,Posterior amygdalar nucleus,Lateral amygdalar nucleus,Retrosplenial area ventral part,Posterior complex of the thalamus,Lateral dorsal nucleus of thalamus,Substantia nigra reticular part,Ventral anterior-lateral complex of the thalamus,Olivary pretectal nucleus,Paraventricular hypothalamic nucleus,Precommissural nucleus,Lateral habenula,Superior colliculus motor related,Medial pretectal area,Medial amygdalar nucleus,Superior colliculus sensory related
Olfactory tubercle,1,0.261508482,0.550044028,-0.155628473,-0.370887471,-0.824893841,0.109401321,-0.0986196176,0.937609687,0.417431746,0.16528133,0.307623629,-0.221613456,0.649209945,0.98024434,-0.405454912,0.616737307,0.440961094,0.782314882,-0.650059686,0.966487545,-0.824373871,0.992277877,0.357911664,-0.406642766,0.536287134,0.0705718336,0.533470581,0.813211264,-0.364163431,0.0199018635,0.190352836,0.494772578,-0.319415185,0.329991048,-0.271192259,0.267687398,-0.457921984,0.320240026,0.778772449,-0.400843994,0.039729864,-0.231815465,-0.372725054,-0.0129577723,0.176946103,-0.574339758,-0.773058282,-0.262621725,0.209383118,0.492501424,-0.278276734,-0.521053633,-0.580734181,-0.294069254,0.013999769,0.673933872,0.453659409,-0.292099356,-0.921920956,0.57852809,-0.569998824,0.688911314,0.744985984,0.505696874,-0.390083339,0.713076841,0.480140322,0.490029379,0.16632277,0.121244629,0.371094327,-0.432777711,0.223758448,-0.150892504,0.0637424678,0.470860391,0.0808196907,-0.619239732,0.174477342,-0.0785112398,0.256793423,0.265209042,0.447304136,0.922962384,0.517405902,-0.184887039,0.22918589,0.900315891,-0.123698682,0.538801123,0.515661585,0.825125817,0.0144822417,-0.507917783,-0.153646413,0.206093424,-0.611996285,0.000421366169,-0.0978234091,0.385220761,0.791889098,0.46555392,-0.124668812,0.762610233,0.0881787171,0.168397284,-0.242172274,0.710878397,0.95442559,-0.560161945,0.391553761,-0.0831766679,0.274622819,0.94974225,0.308662005,0.142928531,0.186355104,0.529554078,-0.150844585,0.611515467,0.684598665,-0.324477104
Pons,0.261508482,1,-0.344493999,0.327795638,0.430138172,-0.294009471,-0.555552084,-0.841405602,0.048839425,0.416145443,-0.748023563,-0.156140552,-0.857118392,-0.102964309,0.226029927,0.344551228,0.723943532,-0.340232429,-0.386416148,-0.708420909,0.432408862,-0.713216466,0.325279063,0.236526293,-0.706261871,0.548595823,-0.331420671,0.399835283,-0.197866594,-0.599890486,-0.542063658,-0.753756646,-0.35571528,0.662062905,0.338661172,-0.868817869,-0.597040308,-0.793279052,0.521495859,-0.353695048,-0.869304749,-0.922693872,0.198175746,0.606939875,0.627838366,0.620980031,0.607159061,0.394875418,0.616730457,-0.111565656,0.424833602,-0.811806847,-0.163013835,-0.0123109508,-0.385878549,-0.760208823,-0.222510472,0.448692438,-0.590961273,-0.0861970293,-0.562259772,-0.319967644,0.381126116,0.136442352,0.693287078,0.341297829,0.438082705,-0.285216056,0.553409865,0.553818173,-0.18111339,0.82410839,-0.741919194,-0.230147586,-0.4513044,-0.158669252,0.756786549,-0.715041043,0.473231523,-0.079933057,-0.348896575,0.933291164,-0.274008623,-0.255400928,0.495676214,-0.0312038626,-0.959802938,-0.0653923096,0.395654467,0.426903428,0.925856188,0.900069125,0.576859633,0.314575523,-0.17134057,-0.578147778,-0.653338168,-0.492662098,0.357936619,-0.0578817796,-0.756639136,0.698790565,-0.315246044,0.1402559,0.275737333,0.600372733,-0.140960355,-0.310659613,0.711039685,0.209234784,0.463458662,-0.141188747,-0.399445376,0.334932177,-0.0330176822,0.866251648,0.408011927,0.88960587,0.818766245,-0.142656379,0.862272729,0.213525461,-0.316046392
Nucleus accumbens,0.550044028,-0.344493999,1,-0.842902651,-0.00164274521,-0.109743244,-0.0973842472,0.450001477,0.772804405,-0.0879503171,0.176897518,-0.0873728347,0.251044834,0.582799088,0.677051942,-0.894962457,0.357601303,0.14609091,0.719325462,-0.253611049,0.325027965,-0.33107591,0.575064723,0.663273808,-0.155409596,0.484651272,0.426034304,0.534051119,0.400998535,0.371305706,0.527284838,0.199426672,0.950394033,-0.230103535,-0.545841206,0.596375768,0.215381724,0.160218019,-0.168657551,0.824409048,0.0396838837,0.510831372,-0.167394795,-0.923252692,-0.0295455063,-0.156725269,-0.571412768,-0.644800005,-0.0714889171,-0.436809333,0.652422413,-0.149864196,-0.765626223,-0.743494485,0.433885341,0.0651820595,0.242490304,0.189423536,-0.254471359,-0.767625712,0.664088777,-0.347959198,0.426669833,0.0277772344,0.1785844,-0.908736157,0.36666803,0.166071296,0.0917919067,0.376895946,-0.464491381,0.122985015,-0.249788614,0.104107948,0.0679237541,0.749247944,0.300008674,0.158532937,-0.955339034,0.776056292,0.750189673,-0.0804490676,-0.00728899501,0.977098412,0.472199167,0.914002176,0.545018437,-0.157473957,0.261709297,-0.872477664,-0.0334712815,-0.0943027289,0.51480005,0.377288045,-0.327146906,0.322033789,0.059769813,-0.513061252,0.0676719962,-0.346335922,0.59286271,0.320704441,0.090950732,-0.153643503,0.805703618,0.269437923,-0.362906359,0.602824745,-0.101921788,0.688685092,-0.459759705,-0.106460789,-0.371558908,-0.599542974,0.740296665,-0.50487021,0.390581341,-0.0375373818,-0.162791758,-0.339832072,0.162646781,0.321689257,-0.0745333665
Pons motor related,-0.155628473,0.327795638,-0.842902651,1,-0.415667451,-0.396801304,0.223363905,-0.574671773,-0.473505489,-0.0135781738,0.00338359465,0.107318713,-0.391502886,-0.0850180398,-0.298439424,0.655091049,-0.352972883,-0.00967479856,-0.292651151,0.261612083,0.0473400866,0.0735473482,-0.222801566,-0.54835531,-0.0436233637,-0.571704553,-0.699615268,-0.648950104,0.0629823503,-0.739094931,-0.759750666,0.0132141098,-0.912709352,-0.155266855,0.856348771,-0.684816637,-0.117818947,-0.0910250313,0.0019963288,-0.412073352,-0.195481113,-0.458579903,-0.289149067,0.706861965,0.054802054,0.397294785,0.239653018,0.238373365,-0.260062,0.729315713,-0.610901096,0.227300098,0.561535612,0.394984894,-0.425639452,0.241997534,0.0550496426,-0.350327024,0.11638098,0.358972524,-0.223306935,-0.0781912675,-0.439704184,0.310226058,-0.292424673,0.696603014,-0.355728269,-0.0366246404,0.281686602,-0.524780509,0.708209038,-0.253168455,0.138259602,-0.225920892,-0.34921254,-0.777685789,-0.358474383,-0.119737588,0.687789215,-0.758384204,-0.891004983,-0.0209559369,0.0032563838,-0.90996545,-0.246962086,-0.775763131,-0.579721155,0.0937996865,0.00414685391,0.986081298,0.18253592,0.0861072143,-0.36921723,-0.726083173,-0.131590303,-0.0857075722,0.267792794,0.254208345,-0.463778879,0.107563907,-0.236330798,-0.196927797,0.10125817,-0.241679918,-0.624704152,-0.492889456,0.443644738,-0.766674027,0.275403398,-0.279535525,-0.042301293,0.22871703,0.378456353,0.844381124,-0.335152341,0.501825708,-0.688252727,-0.0932567976,0.163016922,0.0945401037,-0.100303744,-0.28570118,-0.321082868
Subthalamic nucleus,-0.370887471,0.430138172,-0.00164274521,-0.415667451,1,0.659014612,-0.795986221,-0.232761877,-0.257649355,0.022887157,-0.815265819,-0.507770182,-0.31133809,-0.453135055,-0.262592682,0.0249040853,0.480280516,-0.663033082,-0.670442627,-0.350533856,-0.367771034,-0.103538465,-0.253353513,0.443350332,-0.337049113,0.556019793,0.183299543,0.478636978,-0.828857403,0.313561777,0.0906561493,-0.842879153,0.0673671439,0.95013999,-0.655344611,-0.000401269819,-0.671247276,-0.262775727,0.176739447,-0.531662161,-0.349377678,-0.489120378,0.532622547,0.207137427,0.569492739,0.14484793,0.774684251,0.724985794,0.966559466,-0.871815662,0.544585112,-0.722103813,-0.267033536,0.0419137856,0.272570675,-0.878785228,-0.768336315,0.312057546,-0.454686963,0.283338843,-0.721537381,0.146084501,0.16339427,-0.706526288,0.461165282,-0.0218362913,0.127267511,-0.621682494,-0.0513609123,0.822839391,-0.855801682,0.663138541,-0.490333542,-0.241460464,-0.059112597,0.489596163,0.626454121,-0.636163918,0.296336447,0.463754345,0.503710289,0.663921692,-0.495994521,0.209761361,-0.0415786257,0.260910314,-0.243323674,-0.36263786,-0.33449561,-0.347187497,0.294074809,0.335507293,0.210684068,0.854774418,0.274496762,-0.281144616,-0.960731671,-0.24008665,0.658559842,-0.130732222,-0.750650425,0.194506681,-0.746217378,0.357466625,0.217037305,0.88638578,-0.661319722,0.563381934,-0.138299602,-0.265441742,0.835461509,-0.649212875,-0.651427181,-0.617362488,-0.444081762,0.107227174,0.812215947,0.740822403,0.17818435,-0.155940106,0.403616226,-0.119982586,0.165247746
Dorsal auditory area,-0.824893841,-0.294009471,-0.109743244,-0.396801304,0.659014612,1,-0.240483418,0.368746415,-0.599200771,-0.212474816,-0.218865,-0.261915026,0.38389832,-0.681163525,-0.743915347,0.137962662,-0.263328267,-0.369794595,-0.645554577,0.316268239,-0.872849082,0.661036484,-0.767616986,-0.0756702268,0.397688863,-0.0682978339,0.395421322,-0.0196324544,-0.833190131,0.75346886,0.429375837,-0.258063089,0.0237157433,0.50036705,-0.748343063,0.508660436,-0.189104572,0.298647137,-0.1164222,-0.585451056,0.431014623,0.127478701,0.534693879,0.0830965535,-0.0242761097,-0.414872593,0.47629531,0.650386328,0.474971858,-0.608067699,-0.0966840529,0.0423747026,0.230144768,0.421803613,0.364984799,-0.288759938,-0.642672173,-0.0634554813,0.221265407,0.697943329,-0.547453517,0.652404364,-0.26780427,-0.816232577,-0.147240519,0.0947727073,-0.331892372,-0.380468436,-0.651795743,0.193643858,-0.51330102,-0.0635617067,0.289992068,0.0118382174,0.401831287,0.294208036,-0.127714232,-0.0310677394,0.283591952,0.186696053,0.498522854,-0.0989801229,-0.177741206,0.038177156,-0.638163565,-0.102994036,0.376528873,-0.155939054,-0.75061576,-0.387005439,-0.513492236,-0.369063667,-0.476593927,0.490684275,0.652545326,-0.00000186157084,-0.438436719,0.446848478,0.418730051,0.155952564,-0.366557937,-0.512501214,-0.463588599,0.408458943,-0.351303447,0.27578499,-0.342550846,0.569598271,-0.681937754,-0.751957673,0.679193529,-0.426091938,-0.107543675,-0.669202552,-0.725134993,-0.406054249,0.360944704,-0.00569431354,-0.415445991,0.199855486,-0.396204102,-0.357537886,0.571772388
Primary somatosensory area mouth,0.109401321,-0.555552084,-0.0973842472,0.223363905,-0.795986221,-0.240483418,1,0.608120966,0.122539213,0.317755895,0.946259577,0.8456107,0.712391465,-0.0998503268,-0.0263084593,0.289732813,-0.526538061,0.896213105,0.437660036,0.292116061,0.129981589,0.40605686,0.0146860911,-0.777414486,0.794893263,-0.472847133,0.334776575,-0.293300848,0.601353332,0.180260915,0.378496055,0.930391007,0.0262637989,-0.778138098,0.450255189,0.119245283,0.934309789,0.110819377,0.180079858,0.256309198,0.733176374,0.682263786,0.0506551666,-0.0317519711,-0.940310285,-0.67687105,-0.721347998,-0.558389075,-0.890709949,0.786495554,-0.733840926,0.852791151,0.632078477,0.438568488,-0.52161621,0.720708296,0.803777262,0.0194374621,0.883664934,0.0736176901,0.414837591,0.461326422,0.028784631,0.638132358,-0.293089094,0.308336521,0.0399422035,0.861168679,-0.53527293,-0.889064506,0.833084936,-0.619760395,0.834874948,0.711384826,0.635100627,-0.644232994,-0.672329204,0.937325634,-0.147910229,-0.662261791,-0.478106829,-0.729391866,0.866748465,-0.271284076,-0.0736652405,-0.478861228,0.409442763,0.767246525,0.277447771,0.218670338,-0.585854783,-0.32927376,-0.328058628,-0.567362317,0.353373603,-0.101610282,0.870218268,0.685256418,-0.181982595,0.657014535,0.568065867,-0.276718724,0.91353969,0.230114883,-0.421571118,-0.859601415,0.895815064,-0.584294432,0.0879917057,-0.0945712703,-0.447132565,0.876997944,0.949434067,0.508525646,0.190935339,-0.0751730948,-0.564581152,-0.80883615,-0.101659975,0.691864948,-0.5395008,0.3581931,0.46310742
Perirhinal area,-0.0986196176,-0.841405602,0.450001477,-0.574671773,-0.232761877,0.368746415,0.608120966,1,0.188383421,0.0822245561,0.740425121,0.479377806,0.975242511,-0.16726315,-0.0830564338,-0.208161271,-0.376078235,0.590820965,0.380279351,0.278540716,-0.245832607,0.547039768,-0.124311349,-0.287609983,0.808478197,-0.132472947,0.784540386,0.0753053087,0.206194396,0.84733103,0.900326595,0.715697822,0.607985399,-0.454152869,-0.430574122,0.771579438,0.775692617,0.366385867,-0.0178235698,0.332438801,0.894074972,0.942535175,0.286632482,-0.523038167,-0.803934197,-0.912552828,-0.630727735,-0.432136433,-0.468485247,-0.00307011638,-0.268002515,0.630398736,0.20489469,0.182989104,0.0567181754,0.439994619,0.399830375,0.0987734509,0.711164201,0.0404570055,0.387393812,0.584377893,0.118522837,0.0269769669,-0.216905922,-0.228793915,0.0513189206,0.567984705,-0.796859865,-0.376096605,0.0783039073,-0.466314242,0.7147242,0.658164633,0.81860416,0.105160664,-0.444803348,0.842770706,-0.513090345,0.0390051492,0.371314039,-0.701778935,0.597396223,0.387892085,-0.174220988,0.090586822,0.895355463,0.44118411,-0.0840335874,-0.588459904,-0.819617595,-0.551156035,-0.254862156,0.0776055817,0.510059515,0.100627943,0.467068378,0.535407145,0.164622571,0.434758268,0.583893532,-0.350884878,0.512083535,0.362268753,-0.0810830781,-0.363406145,0.302325077,0.239721426,-0.412745712,-0.138208793,-0.207491115,0.388955714,0.487520173,-0.364108544,0.143319816,-0.613638549,0.0065680272,-0.682789149,-0.434707448,0.494273297,-0.587924397,0.268092411,0.700392494
Lateral preoptic area,0.937609687,0.048839425,0.772804405,-0.473505489,-0.257649355,-0.599200771,0.122539213,0.188383421,1,0.403055862,0.244795091,0.32063717,0.0263940204,0.583697473,0.957406207,-0.55788494,0.607478339,0.48420475,0.833198141,-0.628894554,0.837293395,-0.699494174,0.945035769,0.42532991,-0.251435363,0.622663962,0.35164554,0.667713909,0.749073334,-0.0290211284,0.333919926,0.26125204,0.763692284,-0.305210344,0.0254015454,0.0248736877,0.376732117,-0.353879292,0.298060408,0.853691808,-0.198258996,0.274364908,-0.0904121548,-0.583060927,-0.133174632,-0.0638022304,-0.66400977,-0.818653794,-0.230214767,0.00289201836,0.570057899,-0.232206122,-0.587634955,-0.599914211,-0.158600574,0.00194341936,0.65312056,0.524241296,-0.200154034,-0.923319051,0.628188715,-0.416681412,0.761974604,0.604567385,0.514560499,-0.557582745,0.753771192,0.524280927,0.265564389,0.238640689,-0.0610090962,0.347791901,-0.335902985,0.354037371,0.0646695702,0.267066449,0.466840025,0.215242286,-0.80321747,0.354397224,0.202563945,0.152298528,0.32372463,0.689018675,0.884208164,0.67877376,0.0933080841,0.248979625,0.811610493,-0.441060474,0.339038896,0.382056473,0.815900191,0.214749599,-0.354935158,-0.114429902,0.17599593,-0.54968768,0.149538966,-0.0521411655,0.481475951,0.730259843,0.467199841,0.00498276046,0.843673486,0.162482327,0.0830232497,0.00365230248,0.528262258,0.920600156,-0.519431101,0.352896013,-0.10637304,-0.0119639414,0.967626102,0.0789907058,0.313038109,0.108603534,0.390989236,-0.0897875818,0.509945791,0.738093548,-0.114956031
Central medial nucleus of the thalamus,0.417431746,0.416145443,-0.0879503171,-0.0135781738,0.022887157,-0.212474816,0.317755895,0.0822245561,0.403055862,1,0.118152635,0.773709078,0.0779727847,-0.416779778,0.301482798,0.48807445,0.527754652,0.621505658,0.0492616098,-0.746008592,0.544497881,-0.372608608,0.44527815,-0.348519633,0.176073905,0.546626296,0.559363049,0.637797005,0.252968788,0.077219756,0.358006874,0.070450269,0.148957821,0.166306641,0.314499531,-0.509151382,0.417798184,-0.878645961,0.984157354,-0.0498067632,-0.0348694524,-0.0841332068,0.710220559,0.387886442,-0.395300771,-0.391867958,-0.118401277,-0.162129001,0.0116306511,0.232315321,0.0273339394,-0.187159211,0.292822423,0.420820598,-0.885977847,-0.391867958,0.550014122,0.916693266,0.308142398,-0.0846242045,-0.263394585,0.388005621,0.835190317,0.631225435,0.790141659,0.467898432,0.858826261,0.671035509,-0.284041535,0.0270633027,0.233466938,0.534825658,0.0218486786,0.787907944,0.549322077,-0.491561524,0.418985242,0.291937848,0.100065647,-0.442465981,-0.412234253,0.376326815,0.72330437,-0.105575325,0.629701679,-0.188166019,-0.358020628,0.839928035,0.754465262,0.139165674,0.305534459,0.723380803,0.532815279,0.332215444,0.498226781,-0.935123372,-0.0890690776,0.149926489,0.719359909,0.777168943,-0.283833272,0.65384952,0.579313644,0.801147988,0.171296057,0.136586664,0.608941856,-0.566949815,0.794186627,0.168322352,0.293675729,0.709182039,0.409010674,0.418395449,0.244297661,0.720592649,0.412445922,0.279285772,0.846775863,0.720185812,0.503055941,0.903960265,0.542649322
Entorhinal area medial part,0.16528133,-0.748023563,0.176897518,0.00338359465,-0.815265819,-0.218865,0.946259577,0.740425121,0.244795091,0.118152635,1,0.705116168,0.796949025,0.11311027,0.0811953584,-0.0228748413,-0.55264073,0.844802525,0.620749266,0.378503318,0.102980836,0.414477196,0.0698953574,-0.567316464,0.757425043,-0.463107972,0.364282092,-0.279980335,0.66511274,0.285459982,0.473821431,0.997475214,0.251046064,-0.886518352,0.249400683,0.384231971,0.943464137,0.323972301,-0.0408018604,0.480129674,0.784335129,0.858860489,-0.111169418,-0.345812577,-0.909056202,-0.678400525,-0.86607288,-0.705264484,-0.933354225,0.644042588,-0.594383055,0.878259472,0.40319951,0.189137659,-0.255740329,0.829156198,0.782191536,-0.0991897569,0.795434221,-0.0967856111,0.641824158,0.327658918,-0.0160955291,0.535751614,-0.404000641,-0.00442113422,-0.0259904131,0.804510604,-0.490804315,-0.821847019,0.686649271,-0.708303002,0.800017575,0.61958404,0.582627149,-0.373167524,-0.696073997,0.957824113,-0.417733196,-0.39590856,-0.211421397,-0.847093982,0.759042258,-0.00293492953,-0.0798856075,-0.222113795,0.640694407,0.595506763,0.202876534,-0.0370719674,-0.681475648,-0.50564254,-0.310951676,-0.538752405,0.201220165,0.151154406,0.92397838,0.555389764,-0.293945067,0.449353082,0.788999634,-0.33191305,0.854043675,0.0590046103,-0.262239172,-0.838122783,0.712980185,-0.330417426,-0.0950293421,0.0378545758,-0.624262407,0.741102269,0.807544786,0.278091127,0.333581693,-0.351174465,-0.549671524,-0.898345819,-0.311671427,0.498461941,-0.615617372,0.282749898,0.371666887
Medial septal nucleus,0.307623629,-0.156140552,-0.0873728347,0.107318713,-0.507770182,-0.261915026,0.8456107,0.479377806,0.32063717,0.773709078,0.705116168,1,0.541491817,-0.302240864,0.156223117,0.447966052,-0.0508797121,0.952355715,0.329586411,-0.226494134,0.385493656,0.0680931581,0.261723806,-0.703196532,0.640570337,0.00464472285,0.565707244,0.180105766,0.541169114,0.194958507,0.484884267,0.667103787,0.132081331,-0.425241582,0.447078646,-0.177813756,0.868964104,-0.411633158,0.67173808,0.155814757,0.48610656,0.431032739,0.444825201,0.172203551,-0.859666879,-0.693469926,-0.559583017,-0.472594771,-0.584607828,0.633872205,-0.461428496,0.465123388,0.574193394,0.52166535,-0.832107764,0.258579965,0.845867513,0.537483125,0.768031218,-0.00519973293,0.137484844,0.536146991,0.499926411,0.769466813,0.252642783,0.447594216,0.517461654,0.957189106,-0.53489626,-0.567711259,0.66736705,-0.112124102,0.57451827,0.930076567,0.751588073,-0.682990079,-0.209374873,0.8016537,-0.0655450429,-0.669058572,-0.521032823,-0.283078462,0.990153245,-0.211741552,0.306745678,-0.403886147,0.0987906286,0.985136407,0.605026617,0.190136291,-0.235032062,0.176609046,0.085493538,-0.170534665,0.526548715,-0.589101711,0.527380445,0.541987441,0.29762661,0.876924151,0.231356761,0.181921634,0.936136236,0.614770363,-0.170659435,-0.487042543,0.929927833,-0.683220985,0.490290624,0.0348222313,-0.132599391,0.98000074,0.858051175,0.545559512,0.272635737,0.332779289,-0.125863334,-0.388116085,0.396828957,0.869349683,-0.0828466219,0.755608683,0.63156456
Ectorhinal area,-0.221613456,-0.857118392,0.251044834,-0.391502886,-0.31133809,0.38389832,0.712391465,0.975242511,0.0263940204,0.0779727847,0.796949025,0.541491817,1,-0.273340196,-0.2379028,-0.0302284918,-0.529606703,0.620399858,0.279645733,0.399531156,-0.330412228,0.677888696,-0.262999247,-0.478554908,0.915048811,-0.304333194,0.711048385,-0.0917848524,0.171714042,0.796472781,0.822747523,0.768431012,0.420047084,-0.49566866,-0.301015389,0.699938529,0.808033944,0.3956423,-0.0192781903,0.198369885,0.968007104,0.920632328,0.290999663,-0.368294793,-0.875553502,-0.93550848,-0.585815456,-0.352450791,-0.544332406,0.145931597,-0.47225647,0.758235952,0.404564415,0.353025108,-0.0316722146,0.520823308,0.402829593,0.0155994873,0.837717842,0.20590265,0.312240406,0.684156045,-0.00668972602,0.0484373305,-0.324538384,-0.04555064,-0.0629252601,0.587377324,-0.860469513,-0.541150553,0.238174122,-0.583165119,0.850896782,0.670838147,0.845926561,-0.0780337173,-0.595631149,0.894239906,-0.347542997,-0.154659084,0.202674121,-0.782810435,0.649603674,0.177331247,-0.310979482,-0.126205685,0.854830905,0.505990385,-0.151145397,-0.408041527,-0.894293442,-0.608241037,-0.419943835,-0.0677362604,0.588792325,0.0772195712,0.547399965,0.701200263,0.098102667,0.530216633,0.540912687,-0.479891796,0.555565401,0.376896344,-0.291919561,-0.509811799,0.430759633,0.0971022019,-0.431105711,-0.295462409,-0.175604116,0.460114013,0.635573088,-0.222981809,0.0020707382,-0.565343776,-0.146287035,-0.774516973,-0.461758717,0.595451425,-0.705006897,0.193072178,0.738930423
Lateral hypothalamic area,0.649209945,-0.102964309,0.582799088,-0.0850180398,-0.453135055,-0.681163525,-0.0998503268,-0.16726315,0.583697473,-0.416779778,0.11311027,-0.302240864,-0.273340196,1,0.714378856,-0.777848113,0.127763392,-0.0414171063,0.753436529,0.00854524801,0.518120938,-0.48884613,0.609680239,0.591919921,-0.522156282,0.0226031246,-0.423319843,-0.0527806388,0.636511463,-0.459848393,-0.303486971,0.178714246,0.327933817,-0.509887888,0.128718387,0.13323127,-0.0457002904,0.288799821,-0.507268998,0.819417036,-0.347029744,0.123273283,-0.850522354,-0.672975921,0.279699221,0.497969634,-0.501773568,-0.656586329,-0.331590546,0.0878353698,0.406209318,-0.0670796355,-0.715361712,-0.902390895,0.412142857,0.39592866,0.252735783,-0.340663748,-0.507092941,-0.835158716,0.816950593,-0.88566659,-0.0381600382,0.259323736,-0.193125405,-0.742205318,-0.029294918,-0.0472434119,0.722790361,0.0743938046,-0.000630841039,-0.125432017,-0.406108898,-0.421841318,-0.605667802,0.412960578,0.0660110991,-0.126574304,-0.68265539,0.482691072,0.204793411,-0.099536101,-0.306043028,0.48238391,0.377073551,0.619618,0.110957127,-0.442258624,0.277733459,-0.183973037,0.261977996,-0.109431344,0.342439839,-0.332476589,-0.925091389,0.633075314,0.340020592,-0.697568271,-0.644564374,-0.722949093,0.646675576,0.216800113,0.0256189655,-0.808834651,0.570445203,-0.0946378637,-0.283032878,0.172632398,0.0569228369,0.79940242,-0.838893986,-0.155187758,-0.366519371,-0.0132900441,0.741434937,-0.282495919,-0.269500497,-0.0952698015,-0.18550024,-0.726680396,0.155296225,-0.077147805,-0.782012189
Basolateral amygdalar nucleus,0.98024434,0.226029927,0.677051942,-0.298439424,-0.262592682,-0.743915347,-0.0263084593,-0.0830564338,0.957406207,0.301482798,0.0811953584,0.156223117,-0.2379028,0.714378856,1,-0.561332314,0.656863938,0.316313323,0.787666059,-0.639630255,0.907074214,-0.837187389,0.985545726,0.524482726,-0.484232087,0.596991884,0.0785015992,0.580972801,0.741828408,-0.296744424,0.050972266,0.111142897,0.597368897,-0.258510094,0.160399918,-0.148061542,0.171660039,-0.37447241,0.213669312,0.822789747,-0.434104541,0.0524520482,-0.270677513,-0.49997154,0.0917318261,0.219730151,-0.542192672,-0.751165188,-0.164268252,0.0362515981,0.628383679,-0.357835574,-0.674129625,-0.710854001,-0.117082263,-0.0343986605,0.55759895,0.411567646,-0.408327774,-0.973396667,0.605296817,-0.639375171,0.667475252,0.602451739,0.493513555,-0.550502921,0.678202773,0.357181514,0.528842562,0.300376672,-0.0538512844,0.402916993,-0.521560297,0.122350422,-0.211445104,0.259625772,0.532169201,-0.00482662534,-0.709543219,0.365672777,0.109519358,0.28234829,0.129658134,0.596979641,0.907594156,0.675165831,-0.111359469,0.0784069308,0.813806313,-0.278895386,0.537298941,0.465484316,0.85334493,0.117576617,-0.572265698,-0.0458453608,0.115325471,-0.7177853,0.00294999381,-0.238833917,0.401760138,0.782478685,0.329997403,-0.191241852,0.864540226,0.204562691,-0.0144095049,-0.0480217824,0.599493462,0.989796021,-0.553917698,0.229581637,-0.245081613,0.0913724679,0.962390809,0.184870263,0.234546917,0.235877622,0.440166242,-0.287937558,0.623366832,0.611477072,-0.376180381
