,Olfactory tubercle,Pons,Nucleus accumbens,Pons motor related,Subthalamic nucleus,Dorsal auditory area,Primary somatosensory area mouth,Perirhinal area,Lateral preoptic area,Central medial nucleus of the thalamus,Entorhinal area medial part,Medial septal nucleus,Ectorhinal area,Lateral hypothalamic area,Basolateral amygdalar nucleus,Anteroventral preoptic nucleus,Central amygdalar nucleus,Agranular insular area,Diagonal band nucleus,Supplemental somatosensory area,Piriform area,Ventral auditory area,Orbital area lateral part,Intercalated amygdalar nucleus,Primary auditory area,Substantia innominata,Lateral septal complex,Posterior hypothalamic nucleus,Anterior hypothalamic nucleus,Bed nuclei of the stria terminalis,Orbital area ventrolateral part,Gustatory areas,Taenia tecta,Zona incerta,Subiculum,Dorsal peduncular area,Primary visual area,Visceral area,Midbrain reticular nucleus,Infralimbic area,Temporal association areas,posteromedial visual area,Medial geniculate complex,Ventral tegmental area,Tuberal nucleus,Parasubthalamic nucleus,Retrochiasmatic area,Suprachiasmatic nucleus,Anteroventral periventricular nucleus,Culmen,Endopiriform nucleus,Entorhinal area lateral part,Lateral visual area,Anterolateral visual area,Caudoputamen,Pedunculopontine nucleus,Agranular insular area ventral part,Periaqueductal gray,Dorsal part of the lateral geniculate complex,Retrosplenial area dorsal part,Frontal pole cerebral cortex,Primary somatosensory area upper limb,Anterior amygdalar area,Field CA1,Medial habenula,Presubiculum,Subparaventricular zone,Anteroventral nucleus of thalamus,Piriform-amygdalar area,Ventral medial nucleus of the thalamus,Inferior colliculus,Claustrum,Primary motor area,Anterodorsal nucleus,Mediodorsal nucleus of thalamus,Fundus of striatum,Magnocellular nucleus,Medial preoptic area,Postsubiculum,Paraventricular nucleus of the thalamus,Anterior cingulate area dorsal part,Medial preoptic nucleus,Reticular nucleus of the thalamus,Prelimbic area,Dorsomedial nucleus of the hypothalamus,Cortical amygdalar area,Secondary motor area,Field CA3,Field CA2,Interpeduncular nucleus,Ventrolateral preoptic nucleus,Globus pallidus external segment,Periventricular zone,Orbital area medial part,Primary somatosensory area lower limb,Agranular insular area posterior part,Parasubiculum,Lateral posterior nucleus of the thalamus,Primary somatosensory area trunk,Substantia nigra compact part,Cortical amygdalar area posterior part,Ventromedial hypothalamic nucleus,Central lateral nucleus of the thalamus,Parataenial nucleus,Periventricular hypothalamic nucleus posterior part,Median preoptic nucleus,Dentate gyrus,Anterior cingulate area ventral part,Posterior amygdalar nucleus,Lateral amygdalar nucleus,Retrosplenial area ventral part,Posterior complex of the thalamus,Lateral dorsal nucleus of thalamus,Substantia nigra reticular part,Ventral anterior-lateral complex of the thalamus,Olivary pretectal nucleus,Paraventricular hypothalamic nucleus,Precommissural nucleus,Lateral habenula,Superior colliculus motor related,Medial pretectal area,Medial amygdalar nucleus,Superior colliculus sensory related
Olfactory tubercle,1,0.549799933,0.59819581,0.221295608,0.90693006,0.146611232,0.787280591,0.280291348,0.694738455,0.852635709,0.199545382,0.247636198,0.457251636,0.788371516,-0.61477086,0.952543185,0.0235409057,0.57710684,0.960218807,0.713674205,0.904326329,-0.126406998,-0.20670906,0.576939405,-0.446895721,0.575992307,0.623265438,0.303108972,0.0369722669,0.805161438,0.0123535986,0.754173338,0.0915028529,0.917166234,0.651083284,-0.229218553,-0.359144081,0.889771105,0.312348801,-0.0084415447,0.596478365,0.040496704,0.151683386,0.358342249,0.701600729,0.342883325,0.891625633,0.767240475,0.769361689,0.0261212389,0.233083232,0.179529607,-0.500630828,-0.745764673,0.854767597,0.0363279568,0.5864804,-0.118849755,0.280442964,0.0418192293,0.240825394,0.308386946,0.656437834,-0.0627962023,0.192949009,0.0779946912,0.354198368,0.874609191,0.286968359,0.783723502,-0.551587112,0.850092854,0.231751764,0.88664986,0.90193759,0.843175105,0.562586906,0.76204744,0.202971453,0.595073777,0.35708703,0.788443322,0.615776503,-0.0866929454,0.534553159,0.373677495,0.219842952,-0.154534068,-0.282068785,0.250293383,0.861560388,0.0613586976,0.358223321,0.504515633,0.264579468,0.88996067,-0.110106437,0.586585503,0.182028552,0.154461185,0.281381634,0.586223243,0.862077448,0.915546157,0.694953111,0.803707917,-0.00817649804,0.296145239,0.429159109,0.142157335,0.457751064,0.663105432,0.597546895,0.185774642,0.614024511,0.401105952,0.424033648,0.244450793,0.775146539,-0.120889834,-0.0412753875,0.0586837761,0.0232176148
Pons,0.549799933,1,0.948147538,0.905881216,0.567764695,-0.156416077,0.132630637,-0.495881454,0.499569441,0.486517129,-0.371954349,0.846485287,0.62724868,0.600325328,-0.332516993,0.464520088,0.502290492,0.775798953,0.743945872,-0.00190215552,0.836434186,-0.357078087,-0.325579582,0.0177160044,-0.0189960693,0.611761326,0.877251351,0.867276134,0.762840485,0.769495606,-0.253516756,0.915171471,-0.395115176,0.450671183,0.758234427,-0.453725979,-0.894941912,0.228549989,0.707474508,-0.0707760394,0.0849523169,-0.755632308,0.327945264,0.951993781,0.874786097,0.765866542,0.822429267,0.665267482,0.704427807,0.811616257,-0.209680512,-0.142707328,0.209972453,-0.222104169,0.139289159,0.3751371,0.978661827,0.735113367,-0.449665037,-0.696370192,-0.114212068,-0.621793315,0.890244895,-0.655715756,0.639527975,0.789451673,0.79297671,0.0870773102,0.659306838,0.580671702,-0.528835923,0.857174996,-0.566717146,0.141687801,0.188703049,0.645631297,0.966834705,0.939461345,0.747681699,0.66636545,0.954936462,0.910535408,-0.294631843,-0.0919594625,0.938043639,0.669006996,-0.501921595,-0.522662366,-0.692307915,0.675294609,0.801255632,-0.407118003,0.702518324,0.68287689,-0.632209322,0.199445337,0.525007661,-0.0732457156,-0.692705974,0.679832381,0.647515966,0.818762026,0.242521841,0.711686315,0.662400908,0.565338202,-0.191704092,0.914765132,0.643623738,-0.420985218,0.984075869,0.0832065732,-0.223270587,0.625765699,0.0420349523,0.705275046,0.698827317,0.799508057,0.0531804104,0.559018101,0.571799373,-0.0826896555,0.797309267
Nucleus accumbens,0.59819581,0.948147538,1,0.800114191,0.671898936,-0.284226871,0.0555743799,-0.238679051,0.340909125,0.618782403,-0.249290655,0.869713177,0.807667051,0.501828242,-0.581740188,0.591237557,0.292871271,0.868143787,0.782870288,-0.0703318271,0.805077896,-0.308938467,-0.159982804,0.0209394535,-0.245616215,0.525698808,0.787502917,0.758956336,0.627480263,0.643285978,-0.0549799536,0.868697344,-0.114472522,0.487116403,0.765499472,-0.174070491,-0.708034652,0.199985103,0.6408783,0.197557768,0.205293043,-0.570941004,0.128130868,0.949684967,0.888523106,0.52494382,0.8740817,0.774009764,0.791488615,0.765029707,-0.365865584,-0.0779541658,0.0572231772,-0.433777637,0.215023412,0.172359093,0.975195004,0.606074985,-0.181122858,-0.556579876,0.010769001,-0.509531447,0.832191962,-0.637856779,0.489284702,0.753082832,0.801253153,0.139367373,0.812774685,0.737789953,-0.689817097,0.781178126,-0.324179527,0.198539533,0.329143281,0.759564075,0.896814951,0.882052564,0.742926777,0.592237316,0.835096242,0.825971085,-0.161613569,0.21068202,0.883339536,0.639260916,-0.244901817,-0.606348317,-0.839487924,0.712712015,0.903159782,-0.226514934,0.710409405,0.87260181,-0.482407159,0.19241742,0.385780498,-0.00362181115,-0.545693605,0.657133955,0.620638667,0.805485043,0.276669534,0.731307474,0.663896768,0.671412675,-0.090232392,0.872683,0.52637932,-0.594966313,0.953309945,0.209041839,-0.131105225,0.54676606,0.313037077,0.714079167,0.731474278,0.717879612,0.0363935529,0.35204406,0.401430424,-0.329356159,0.620591868
Pons motor related,0.221295608,0.905881216,0.800114191,1,0.171862061,-0.378328623,-0.0913611437,-0.730596334,0.244710275,0.284676166,-0.704880214,0.912891557,0.365497596,0.290911175,-0.142759061,0.163355367,0.447631887,0.723477838,0.472346979,-0.285295895,0.605016911,-0.586894127,-0.132220685,-0.365972785,0.0589095512,0.314024007,0.85682725,0.973817409,0.755173353,0.549503436,-0.150919202,0.80031034,-0.452407889,0.050567798,0.443283094,-0.419802252,-0.91449813,-0.058029563,0.505715129,-0.0312157594,-0.337920138,-0.849623721,0.181512266,0.884956122,0.598077137,0.799024892,0.518365729,0.529079397,0.578211386,0.824027474,-0.124368189,-0.47141667,0.310543938,0.00253362643,-0.264472113,0.278643022,0.889310711,0.825347283,-0.638405732,-0.932895425,-0.0326269077,-0.84382677,0.651478224,-0.856573035,0.837916668,0.739902634,0.873614754,-0.236270525,0.474230361,0.203420093,-0.472305514,0.658237181,-0.765026241,-0.138139244,-0.188628466,0.267979956,0.811209063,0.732209308,0.59767636,0.695684752,0.913784623,0.725614922,-0.631466288,-0.178788199,0.929893009,0.418946412,-0.644926714,-0.667807269,-0.685155701,0.797922152,0.517705745,-0.702574971,0.804255239,0.545064894,-0.783393653,-0.132417939,0.489612516,-0.47614513,-0.915191181,0.52520407,0.425161709,0.547961989,-0.16024025,0.515035136,0.62604622,0.418017456,-0.468414311,0.977524651,0.409276526,-0.426095602,0.888131503,-0.345636423,-0.600532647,0.453242714,-0.302700903,0.79149433,0.765791703,0.943138103,-0.140339584,0.595348194,0.842357524,-0.155259062,0.871216944
Subthalamic nucleus,0.90693006,0.567764695,0.671898936,0.171862061,1,0.263317689,0.537771929,0.329114894,0.645112631,0.696399168,0.443339473,0.238772076,0.735560086,0.795638006,-0.605629506,0.853725995,0.173770016,0.491050323,0.873363391,0.563368186,0.809292504,0.195124444,-0.375645398,0.696691902,-0.301102893,0.731131799,0.433914632,0.163063203,0.213936911,0.717831133,-0.158602728,0.625779866,0.0684347714,0.951900957,0.848471963,-0.161878121,-0.284602561,0.696860577,0.56274037,0.00218243443,0.813318344,-0.0334549846,0.28557163,0.480064439,0.845691741,0.205028932,0.929182355,0.629606768,0.621572836,0.22494127,-0.171389331,0.48508519,-0.254008797,-0.643431782,0.856917796,0.198851046,0.57881061,0.0289608559,0.282158438,0.171959143,-0.0490091718,0.23565331,0.76340167,0.0698281726,-0.0777599309,0.321931971,0.22551496,0.725746156,0.584929259,0.961756497,-0.435236459,0.742226242,0.238965454,0.685858639,0.866976666,0.98464884,0.641882433,0.761953628,0.492636317,0.296439133,0.4083874,0.720238041,0.584349802,0.163523685,0.422907255,0.646084348,0.182414454,-0.022489032,-0.341581214,0.112009801,0.901288147,0.361431535,0.168923839,0.593484022,0.132796288,0.75822617,0.140208368,0.718485341,0.192104807,0.460134503,0.577295059,0.781807495,0.876510141,0.740458766,0.436720296,0.623210419,0.359092343,0.257654077,0.603955513,-0.138354465,0.547854698,0.840232893,0.64597635,0.459668114,0.740700995,0.203065541,0.241419539,0.0828685788,0.485663494,0.0263003176,-0.267359837,0.016733594,0.0935851887
Dorsal auditory area,0.146611232,-0.156416077,-0.284226871,-0.378328623,0.263317689,1,0.393715855,-0.00429122294,0.679532143,-0.375516169,0.693106782,-0.64241513,-0.102992507,0.605336252,0.54370532,-0.10191818,0.601894124,-0.641979548,-0.0323395799,0.639128013,0.0427892683,0.768824629,-0.8530782,0.844163788,0.653643447,0.664924675,-0.30298856,-0.452559363,0.177351144,0.343341459,-0.809756612,-0.212128145,-0.5387518,0.483617271,0.382056372,-0.609895008,0.00461477191,0.372427688,0.448441488,-0.831907887,0.621276611,-0.038718892,0.830860364,-0.244848642,0.181892543,0.141582614,0.0596279273,-0.511573212,-0.495520348,-0.133170589,0.0595664403,0.792054664,0.357054463,0.385302987,0.505892519,0.740751657,-0.320740631,-0.0462204692,-0.192961029,0.520680097,-0.721542887,0.363284296,0.280856993,0.794146272,-0.50419417,0.00901651037,-0.700499817,0.314640568,-0.174605405,0.134167605,0.737052038,0.0897061914,-0.0318861401,0.14261492,0.203990634,0.199144455,0.0887801102,0.100237874,0.174446949,-0.432876644,-0.00767869158,0.0937392836,0.396572617,-0.468907589,-0.396805164,0.472989322,-0.255847978,0.917188854,0.728327341,-0.818353457,-0.117947429,0.512155728,-0.746322772,-0.565926968,0.0661720838,0.465041807,0.42812385,0.741575333,0.367450353,0.285418147,0.4404797,0.323055998,0.585205868,-0.181968666,-0.491355273,-0.466728128,0.657158356,-0.500952192,0.632363247,0.505561788,-0.146111182,0.583920962,0.629628339,0.489228784,-0.0367879805,-0.727098556,-0.74346485,-0.589132867,0.160641831,0.382458302,-0.514807127,0.884961462,0.0304082528
Primary somatosensory area mouth,0.787280591,0.132630637,0.0555743799,-0.0913611437,0.537771929,0.393715855,1,0.221612319,0.743056552,0.559105161,0.187739752,-0.219507229,-0.166292655,0.692289082,-0.168627446,0.674372725,-0.00874150137,0.120473447,0.645644113,0.949083106,0.63080411,-0.109947893,-0.230210837,0.601486644,-0.226121422,0.383123748,0.399982221,0.0539669992,-0.248947305,0.684697101,-0.0674214695,0.448396178,-0.0582498584,0.725951539,0.244600131,-0.414837212,-0.190601919,0.978176597,-0.0244108304,-0.344759854,0.394392543,0.232686912,0.224762371,-0.157654442,0.244407032,0.338076931,0.46866356,0.390066534,0.403829891,-0.417848527,0.720363868,0.098929146,-0.547240354,-0.458680217,0.783976117,0.0633859224,0.126894527,-0.409586247,0.19488524,0.200734882,0.251881627,0.561183082,0.29546417,0.227767376,0.153990586,-0.374853308,-0.0117875995,0.914216547,-0.345443997,0.291858088,-0.143120846,0.623646269,0.239121124,0.907131999,0.731747597,0.393993638,0.171822883,0.41955208,-0.268075257,0.497170182,0.0235253626,0.523956143,0.68573626,-0.542521557,0.19353472,0.00857819177,0.183328466,0.190776242,0.2874139,-0.101315111,0.376224911,-0.0464667913,0.0621520369,-0.0984831576,0.483607643,0.945978207,-0.300364911,0.56732171,0.384150689,-0.265344218,-0.0950619268,0.166595366,0.788671238,0.666829979,0.495305822,0.503669136,-0.155910487,-0.103109481,0.236457574,0.721458021,-0.0139579787,0.475310486,0.657488008,-0.112241724,0.257303318,0.110543592,0.102333043,-0.00505503437,0.9592904,-0.206060217,-0.0591641255,0.466467625,-0.193704279
Perirhinal area,0.280291348,-0.495881454,-0.238679051,-0.730596334,0.329114894,-0.00429122294,0.221612319,1,-0.229194626,0.376832562,0.643972792,-0.438652536,0.163403231,-0.134292698,-0.567765939,0.451646121,-0.710639682,-0.0705137505,0.0951516229,0.303210839,-0.132696011,0.310158332,0.3869289,0.361602961,-0.64252921,-0.234624977,-0.449760519,-0.66641637,-0.763297223,-0.309714146,0.525783811,-0.314286019,0.841517621,0.296957173,-0.12861478,0.696434259,0.783094512,0.305022211,-0.423074619,0.520478992,0.54063233,0.904271099,-0.486783765,-0.47889737,-0.179173926,-0.799178065,0.0311873322,0.151812633,0.0846411496,-0.64775442,-0.0215463415,0.366121865,-0.704761773,-0.653937033,0.555922369,-0.594890537,-0.375300832,-0.830847179,0.980125344,0.805607803,0.419580961,0.84229776,-0.349002065,0.496832246,-0.653314639,-0.576105875,-0.373299437,0.548366427,-0.0104531637,0.34659677,-0.214998448,-0.261510026,0.992313586,0.5170834,0.657585709,0.254641796,-0.488122693,-0.331912577,-0.407144665,-0.295122898,-0.696618849,-0.349716972,0.828997504,0.576123358,-0.47910528,-0.289309836,0.956972909,0.162596218,0.0767232873,-0.299452061,0.117042167,0.693451237,-0.311089087,0.145486928,0.88224017,0.371773273,-0.674899727,0.553472637,0.88801501,-0.416132939,-0.322362846,-0.249990483,0.411794823,0.0475421251,-0.0930491325,0.239103195,0.358742981,-0.57791016,-0.40133252,0.0630296755,-0.495278182,0.588024287,0.702010643,-0.459198078,0.837831363,-0.286143536,-0.223520659,-0.607598582,0.374678475,-0.837917334,-0.777279333,-0.340687793,-0.882498785
Lateral preoptic area,0.694738455,0.499569441,0.340909125,0.244710275,0.645112631,0.679532143,0.743056552,-0.229194626,1,0.250925902,0.242184768,-0.0223777318,0.145383085,0.972627545,0.122882393,0.443037726,0.643991696,0.0713992753,0.636196847,0.785392589,0.737626344,0.181782034,-0.784882261,0.738600718,0.314146168,0.873443002,0.48175068,0.247729492,0.418322056,0.918474307,-0.66152214,0.561281131,-0.601918977,0.806999881,0.706838546,-0.826761901,-0.590760658,0.75824676,0.619806316,-0.719191346,0.52825974,-0.357919468,0.780480271,0.2861081,0.654044867,0.68401801,0.647036983,0.200020952,0.240829752,0.174060548,0.280642559,0.391676217,0.107934398,-0.0445523677,0.673960813,0.685225838,0.382140678,0.208364843,-0.324678815,-0.0192751755,-0.382168059,0.0963157658,0.758177355,0.197402808,0.156610112,0.257527873,0.0124172291,0.60405438,0.0512054046,0.458863368,0.11675736,0.783033822,-0.269430678,0.532482124,0.492065793,0.584316025,0.640359181,0.737301099,0.365929683,0.339423825,0.529300005,0.771537243,0.331972982,-0.624158243,0.361706882,0.618229176,-0.388427651,0.344910704,0.211854747,-0.16026779,0.484044029,0.00626210881,-0.027205923,-0.0555639974,-0.11756637,0.774865146,0.413555925,0.602392026,-0.0242857265,0.398486133,0.54318874,0.676713146,0.784148823,0.550986566,0.284089201,0.223695548,0.170800179,0.159279459,0.816104628,0.424366478,0.427573884,0.540476134,0.496441181,0.565355696,0.0415613609,0.00573121511,-0.0165657837,0.104307947,0.539195852,0.464831164,0.0282560104,0.716941672,0.389646745
Central medial nucleus of the thalamus,0.852635709,0.486517129,0.618782403,0.284676166,0.696399168,-0.375516169,0.559105161,0.376832562,0.250925902,1,-0.108117625,0.470862442,0.434992668,0.374282779,-0.880731632,0.95647333,-0.389715282,0.818901989,0.879053897,0.37312985,0.763615943,-0.485601209,0.310503805,0.12585841,-0.816010736,0.126407672,0.655946322,0.413107458,-0.181739652,0.505304949,0.499947467,0.73639026,0.460403037,0.601296212,0.33875629,0.183142671,-0.219072681,0.662877821,-0.0366941855,0.467764309,0.263120053,0.187382867,-0.35670638,0.35093281,0.480645202,0.13980223,0.749068559,0.958578834,0.944792798,-0.026977096,0.225297523,-0.219927404,-0.740224228,-0.942052835,0.575568782,-0.432086665,0.618515142,-0.214204973,0.472484802,-0.124713268,0.657810922,0.21679892,0.374713195,-0.391856412,0.361175535,-0.0471976778,0.617076686,0.705146682,0.294839181,0.642846861,-0.885914955,0.677504125,0.352357273,0.80215393,0.782743892,0.655413527,0.371070255,0.571557609,-0.00170136519,0.730231503,0.213864821,0.604393066,0.461791866,0.198237823,0.609877565,0.0202321224,0.452243349,-0.577482253,-0.583109108,0.595111992,0.820796526,-0.141332287,0.659458924,0.724647204,0.33666061,0.618878354,-0.430151619,0.208852336,0.0996359038,-0.101527004,-0.0521694047,0.294549191,0.522002733,0.918191828,0.868185839,0.986163468,-0.327326493,0.429211527,-0.0113251799,-0.076473553,0.391595529,0.351265143,0.304335648,-0.175190604,0.651757938,0.69210813,0.726608397,0.439327922,0.688311221,-0.425856602,0.138919095,-0.42106488,-0.12422972
Entorhinal area medial part,0.199545382,-0.371954349,-0.249290655,-0.704880214,0.443339473,0.693106782,0.187739752,0.643972792,0.242184768,-0.108117625,1,-0.655482416,0.260606291,0.30061342,-0.0173474782,0.148205536,0.0507468371,-0.488218915,-0.0158855757,0.461291851,-0.115524583,0.89983765,-0.414978033,0.828968529,0.112815955,0.388246209,-0.593174618,-0.780370064,-0.215783248,-0.0368607407,-0.303362844,-0.407070917,0.167336015,0.511231605,0.315970439,0.102729433,0.529066894,0.270996343,0.214475246,-0.178453416,0.878969659,0.466051318,0.313082974,-0.336733495,0.123942889,-0.500373352,0.0969997444,-0.312798124,-0.351621751,-0.316123527,-0.289538411,0.939612144,-0.0255398296,-0.0939999441,0.654823699,0.214143568,-0.41755927,-0.416319582,0.481518453,0.902794503,-0.403907156,0.675616663,0.0512846784,0.881354458,-0.907164535,-0.15118326,-0.742979899,0.41742394,0.125264211,0.440645262,0.396958094,-0.175915654,0.589514396,0.254511041,0.506092019,0.396533663,-0.171476439,-0.129255768,0.0881091278,-0.663694306,-0.380431802,-0.196724994,0.724331393,0.259791969,-0.608050177,0.328185015,0.398201038,0.751696162,0.434616446,-0.778349277,0.0431660231,0.962824758,-0.780253088,-0.176259334,0.474022999,0.414899888,0.0438607515,0.892748805,0.768579014,0.161328742,0.305638344,0.204719756,0.625193677,-0.204336516,-0.543807546,-0.26595999,0.899345593,-0.676849176,0.281094801,0.125735668,-0.310394103,0.85506752,0.850071072,0.233731793,0.591993948,-0.759797938,-0.719434417,-0.844764985,0.108447628,-0.16284305,-0.957032158,0.295349682,-0.459775264
Medial septal nucleus,0.247636198,0.846485287,0.869713177,0.912891557,0.238772076,-0.64241513,-0.219507229,-0.438652536,-0.0223777318,0.470862442,-0.655482416,1,0.554278193,0.0951189356,-0.476763166,0.308353495,0.128031245,0.890361072,0.506055,-0.434518662,0.550575767,-0.631438821,0.167090496,-0.470723897,-0.274780995,0.119637139,0.783026719,0.896734402,0.562914783,0.354995669,0.177757224,0.760099179,-0.0686577242,0.0202842583,0.381847855,-0.0299639829,-0.693202744,-0.134112831,0.354385997,0.367252163,-0.291042856,-0.623691685,-0.151580456,0.888626574,0.567652285,0.505104136,0.54912496,0.701846741,0.724678933,0.76584323,-0.286053768,-0.504621789,0.0865392923,-0.275966529,-0.246735813,-0.0484887811,0.904581337,0.669118574,-0.310228773,-0.832966183,0.205183195,-0.749902161,0.53084963,-0.925219535,0.730104802,0.674446237,0.956376464,-0.214823602,0.640952323,0.341499112,-0.732476629,0.548950594,-0.482971296,-0.0899819889,-0.0624680615,0.350393613,0.700384347,0.636899279,0.545972578,0.66297065,0.761283446,0.604043207,-0.527086677,0.20547605,0.902416002,0.305177442,-0.31930506,-0.865945454,-0.920094309,0.93002007,0.625936562,-0.568254167,0.896071946,0.805960961,-0.609509458,-0.197585885,0.264898685,-0.493777754,-0.784724361,0.4410385,0.318269008,0.470021997,-0.200530831,0.549466681,0.682404822,0.585789258,-0.445559866,0.974946979,0.18337055,-0.661772905,0.848686399,-0.286829382,-0.573793947,0.284251938,-0.00544130108,0.882158791,0.884309115,0.914329104,-0.170604677,0.304398543,0.71378391,-0.532240744,0.6542966
Ectorhinal area,0.457251636,0.62724868,0.807667051,0.365497596,0.735560086,-0.102992507,-0.166292655,0.163403231,0.145383085,0.434992668,0.260606291,0.554278193,1,0.3651149,-0.625723067,0.497723875,0.183732686,0.578146283,0.556488888,-0.133662398,0.496573982,0.198544063,-0.194487183,0.253767655,-0.229971102,0.51702613,0.284876303,0.252236578,0.465767693,0.321910734,-0.0716299584,0.457064659,0.137698948,0.513430922,0.787618972,0.146812906,-0.247175763,0.0363034454,0.658325594,0.328467123,0.562345575,-0.265353301,0.100598516,0.748435664,0.812472526,0.0260190495,0.746922986,0.512317357,0.494841185,0.635359456,-0.744579428,0.381609742,0.105137541,-0.430168113,0.338204752,0.135409889,0.657306633,0.397206708,0.152078797,-0.0605063707,-0.182632767,-0.235291669,0.675325914,-0.216155706,-0.102679009,0.696526565,0.387317037,0.109777721,0.973953539,0.88758914,-0.488583004,0.424579689,0.0471719939,0.090934631,0.419857413,0.836768202,0.655367719,0.602750291,0.788859514,0.0555649375,0.513215993,0.477590309,0.0833581537,0.618548061,0.43857652,0.721317633,0.0513835334,-0.292348692,-0.714465738,0.328790441,0.79893481,0.356426966,0.266871539,0.839281621,-0.265674306,0.11741706,0.379629798,0.305518614,-0.159025356,0.735032178,0.722652614,0.781352982,0.357361924,0.404374103,0.21803526,0.409246891,0.438276208,0.481641131,0.489440777,-0.766762771,0.711117045,0.535856369,0.156796958,0.598295011,0.640409797,0.26754497,0.317260639,0.213923269,-0.178876247,0.190274945,-0.160524562,-0.414383586,0.307511903
Lateral hypothalamic area,0.788371516,0.600325328,0.501828242,0.290911175,0.795638006,0.605336252,0.692289082,-0.134292698,0.972627545,0.374282779,0.30061342,0.0951189356,0.3651149,1,-0.0643011426,0.569275177,0.60645887,0.213183165,0.748354371,0.735284324,0.819557023,0.20621602,-0.755295939,0.765026318,0.197573478,0.926040948,0.519995813,0.276935169,0.457868135,0.938533446,-0.602267109,0.638083126,-0.493180133,0.897585374,0.83632927,-0.717658842,-0.588136879,0.755109293,0.704338122,-0.574869775,0.641924092,-0.354345276,0.726618475,0.420334255,0.794952909,0.626764563,0.791345008,0.333176958,0.365180487,0.272404842,0.116883642,0.453006288,0.0733940977,-0.186506209,0.744006715,0.637789597,0.504732262,0.242473336,-0.223920772,-0.00720564515,-0.360422326,0.0785111726,0.855012914,0.144597104,0.116149367,0.365465807,0.10058276,0.63502844,0.260153395,0.650536574,-0.0296117735,0.839939195,-0.197410551,0.566010635,0.600369226,0.755388068,0.734994336,0.827725314,0.494116605,0.346320473,0.588260106,0.834524298,0.374578806,-0.432639508,0.436227,0.722519322,-0.306344013,0.249700308,0.0336718868,-0.072383022,0.654107145,0.0988868883,0.0419045002,0.151988592,-0.123655088,0.788363697,0.429935489,0.657009782,-0.0217234864,0.509829281,0.648476522,0.800932862,0.844902272,0.636271698,0.339691659,0.338061222,0.252785025,0.244853324,0.855781634,0.240062005,0.546652529,0.652631158,0.534833205,0.634551525,0.223575893,0.0750558204,0.0677349816,0.136873734,0.507484642,0.433454219,-0.0287202014,0.562760038,0.395913652
Basolateral amygdalar nucleus,-0.61477086,-0.332516993,-0.581740188,-0.142759061,-0.605629506,0.54370532,-0.168627446,-0.567765939,0.122882393,-0.880731632,-0.0173474782,-0.476763166,-0.625723067,-0.0643011426,1,-0.815560017,0.560258022,-0.777138367,-0.657248602,-0.0344305896,-0.481946066,0.323348295,-0.492844414,0.00992643941,0.899828877,0.0614421639,-0.368139595,-0.214716541,0.246080125,-0.142537534,-0.657867476,-0.478640661,-0.721646764,-0.405004831,-0.257304592,-0.562733404,-0.0658428142,-0.319724199,0.0882588345,-0.776754829,-0.288383248,-0.315009383,0.571569213,-0.338615513,-0.383777272,0.229128584,-0.603828222,-0.855616916,-0.815999941,-0.0234955974,0.15545331,0.121663066,0.678443325,0.944151409,-0.412995645,0.603902041,-0.50011859,0.234238368,-0.665933573,-0.0137337296,-0.637024928,-0.189273038,-0.199466006,0.358208042,-0.0951223463,-0.0107631577,-0.535334695,-0.462610617,-0.514144246,-0.675672985,0.905367241,-0.358739088,-0.52443478,-0.549916407,-0.672785948,-0.614438204,-0.20776166,-0.337455573,-0.0649770029,-0.423246254,-0.0468774342,-0.30952541,-0.398686497,-0.63797871,-0.415724744,0.00388536387,-0.636067394,0.623796452,0.730211422,-0.567695607,-0.741589826,-0.10646876,-0.552502167,-0.860913388,-0.347832165,-0.316062748,0.449151542,-0.14376425,-0.169463459,0.0406789895,0.0396435523,-0.212756276,-0.31994204,-0.660195765,-0.629085892,-0.849991865,0.115424166,-0.341447926,0.182591329,0.428563354,-0.309467804,-0.351050067,-0.227660985,0.201295416,-0.815837205,-0.570846838,-0.629774508,-0.278632226,-0.353862819,0.546795413,0.0708300707,0.739782772,0.260272829
